year,slot,section,topic,subtopic,question_type,difficulty,concepts,estimated_time_seconds,pattern_tags,source_reference
2020,Slot 1,VARC,Reading Comprehension,Main Idea,MCQ,Medium,central_idea; evidence,150,passage_inference; main_idea,Synthetic test metadata record
2020,Slot 1,VARC,Verbal Ability,Para Jumbles,TITA,Medium,sequence; logical_flow,150,ordering; coherence,Synthetic test metadata record
2020,Slot 2,DILR,Data Interpretation,Tables,MCQ,Easy,table_reading; comparison,90,comparison; data_reading,Synthetic test metadata record
2020,Slot 2,QA,Arithmetic,Percentages,MCQ,Easy,percentage_change; proportional_reasoning,75,calculation; base_value,Synthetic test metadata record
2021,Slot 1,VARC,Reading Comprehension,Inference,MCQ,Hard,evidence; inference,180,passage_inference; evidence,Synthetic test metadata record
2021,Slot 1,DILR,Logical Reasoning,Arrangements,TITA,Medium,ordering_constraints; adjacency,150,arrangement; constraint_tracking,Synthetic test metadata record
2021,Slot 2,QA,Algebra,Linear Equations,MCQ,Medium,linear_equation; inverse_operation,120,equation; algebraic_reasoning,Synthetic test metadata record
2021,Slot 2,QA,Geometry,Triangles,MCQ,Hard,angle_properties; geometry,180,diagram; theorem_application,Synthetic test metadata record
2022,Slot 1,VARC,Verbal Ability,Summary,MCQ,Easy,main_claim; supporting_detail,120,summary; central_idea,Synthetic test metadata record
2022,Slot 1,DILR,Data Interpretation,Charts,MCQ,Hard,chart_reading; comparison,180,comparison; multi_step,Synthetic test metadata record
2022,Slot 2,QA,Arithmetic,Time and Work,TITA,Medium,individual_rates; combined_rate,150,rate; work_equivalence,Synthetic test metadata record
2022,Slot 2,DILR,Logical Reasoning,Games and Tournaments,MCQ,Medium,round_robin; counting,150,pairing; counting,Synthetic test metadata record
